,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),TOTAL COLIFORM (MPN/100ml)Mean,wqi
0,30.6,6.7,7.5,203.0,1.0,0.1,27.0,93.82
8,27.9,6.7,6.4,93.0,1.4,0.1,3433.0,66.2599999999999
10,29.0,7.3,7.0,247.0,1.5,0.2,2453.0,82.4
11,29.1,7.3,7.0,188.0,1.0,0.1,3048.0,82.58
13,28.7,7.3,6.7,144.0,1.5,0.1,3052.0,76.16
17,30.1,6.5,7.5,415.0,2.0,0.1,1538.0,82.0399999999999
18,25.1,6.6,7.8,95.0,4.9,0.2,36.0,89.32
19,29.6,6.9,7.9,99.0,5.0,0.4,34.0,89.32
20,27.4,6.8,7.7,85.0,5.2,0.3,23.0,89.32
21,27.8,6.7,7.8,80.0,4.9,0.3,29.0,89.32
22,25.0,5.6,7.9,468.0,3.6,1.9,164.0,77.36
23,25.0,6.4,7.6,541.0,5.7,0.6,45.0,88.6
24,25.1,6.7,7.6,83.0,4.8,0.2,76.0,83.7
25,21.4,7.2,7.7,226.0,3.1,0.8,130.0,83.34
26,27.4,5.9,7.4,268.0,6.4,0.4,68.0,73.04
27,27.1,5.4,7.5,2413.0,7.4,1.5,116.0,72.68
28,27.2,5.8,7.3,384.0,5.4,0.6,78.0,77.36
29,27.3,5.9,7.4,269.0,5.1,1.2,60.0,77.72
30,27.0,6.0,7.3,269.0,8.5,0.4,58.0,78.66
31,27.2,6.1,7.3,196.0,6.1,0.5,63.0,78.84
32,27.0,5.9,7.4,269.0,6.4,0.4,47.0,78.66
33,22.6,6.3,7.8,223.0,4.6,0.9,32.0,89.14
34,28.0,6.8,7.2,170.0,3.1,1.4,0.0,94.76
35,27.6,6.6,8.1,161.0,4.6,0.3,32.0,89.14
36,27.3,6.7,8.0,138.0,5.0,0.3,33.0,89.32
37,27.8,6.7,7.8,81.0,4.9,0.3,35.0,89.32
38,28.0,5.9,7.7,194.0,5.5,0.6,51.0,77.9
39,28.1,6.3,7.6,186.0,4.6,0.6,31.0,89.14
40,28.6,6.6,7.6,207.0,4.7,0.7,31.0,89.14
41,26.9,6.8,7.7,85.0,5.0,0.4,34.0,89.32
42,23.0,7.1,7.4,176.0,2.7,0.9,30.0,93.82
43,23.0,7.0,7.4,178.0,2.7,0.9,40.0,93.82
44,23.0,7.2,7.2,180.0,2.7,1.0,70.0,88.2
45,25.1,6.7,7.5,85.0,1.4,1.0,420.0,88.38
46,24.6,5.8,7.4,77.0,1.4,0.8,691.0,77.14
47,25.7,6.6,7.5,75.0,1.4,0.7,448.0,88.56
48,24.8,6.7,7.5,82.0,1.4,1.0,443.0,88.38
49,27.3,6.7,6.9,56.0,0.9,0.2,172.0,85.26
50,27.5,6.5,6.7,2240.0,1.2,0.2,304.0,81.06
51,25.2,6.3,6.9,73.0,1.6,0.0,2008.0,79.64
52,29.9,7.0,7.4,130.0,0.7,0.1,590.0,82.7599999999999
53,29.8,6.6,7.7,191.0,1.6,0.2,661.0,82.58
54,27.8,6.9,6.9,134.0,1.1,0.4,531.0,79.46
55,26.7,7.0,7.5,80.0,0.8,0.4,3583.0,82.7599999999999
56,26.4,7.2,7.4,82.0,0.7,0.5,1311.0,82.7599999999999
57,29.8,7.5,7.2,67.0,1.1,0.1,590.0,82.94
58,28.6,3.0,6.6,965.0,1.7,1.2,530.0,55.28
59,26.0,6.7,7.5,90.0,1.6,0.9,473.0,88.38
60,30.3,6.7,6.9,87.0,1.7,0.2,350.0,85.08
61,30.7,6.9,6.8,85.0,1.6,0.2,206.0,85.08
62,28.7,2.1,6.8,101.0,1.6,0.8,694.0,51.36
63,28.2,2.5,6.9,83.0,1.9,0.3,656.0,51.36
64,24.8,7.2,7.6,75.0,1.4,1.0,426.0,88.56
65,29.2,6.1,7.6,281.0,1.2,0.7,718.0,82.4
66,26.6,6.7,7.6,106.0,0.5,2.5,71.0,88.38
67,30.4,7.6,7.1,58.0,1.2,0.1,961.0,82.94
68,25.1,7.4,7.0,35.0,0.1,0.0,409.0,88.56
69,28.9,6.4,7.2,63.0,1.3,0.4,535.0,82.94
70,28.8,5.4,6.7,65.0,1.1,0.3,144.0,76.34
71,29.3,5.6,7.3,90.0,1.6,0.4,705.0,77.14
